year,statement
1998,"Reportingfrom1998indicatedthat""SheikhKhalid""(KSM), along with had ""switched their allegiance"" and were ""part of the bin Ladin organization in Afghanistan."""
1998,"The FBI information included that al-Mairi's brother ""traveled to Afghanistan in 1997-1998 to train in Bin - Ladencamps."""
1998,"CIA Interrogators Disagree with CIA Headquarters About Al-Nashiri's Level of Cooperation; Interrogators Oppose Continued Use of the CIA's Enhanced Interrogation Techniques 'Abd al-Rahim al-Nashiri,^^- assessed by the CIA to be an al- Qa'ida ""terrorist operations planner"" who was ""intimately involved"" in planning both the USS Cole bombing and the 1998 East Africa U.S. Embassy bombings, was captured in the United ArabEmiratesinmid-October2002.-^^-^ Heprovidedinformationwhileinthecustodyofa foreign government, including on plotting in the Persian Gulf,^^""^ and was then rendered by the The email, which expressed concern that SWIGERT and DUNBAR would interfere with on-site psychologists, stated that, ""[a]lthough these guys believe that their way is the only way, there should be an effort to define roles and responsibilitie^efor^h^-arroganc^n^iarc^isi^volv^ntounpro^ contlic^ the field."""
1998,"• • • • 1759 (0213I9ZQCT04);HEADQUARTERSl|^Hm40023ZNOV05);| (171225Z NOV 04); (140915Z NOV 04); (06I620Z DEC 04); 2207(1113I9Z APR 05)I^^^Hl2210a^7Z APR05)~|^|H2535 (051805Z JUL05); ^ ^ • • ^ 9 (120857ZJUL05)n^^^|2830 (29I304Z AUG 05); 1890 (171225Z NOV 040r^^B^^^^893^00831Z NOV 04); CIA document entitled, ""Detainee Talking Points for ICRC Rebuttal, 12 April2007T||^BIB2210(141507Z APR 05); •^^••25^(051805Z JUL 05); 2210 (141507Z APR05)r^H|||[B225 (051805Z J U L 0 5 ) I ^ B | | 2830 (291304Z AUG 05); 1930 (061620Z DEC 2210 (141507Z APR 05) 2210(141507Z APR 05); 1691 (081609Z SEP04); 05); 2023 (151735Z JAN 05); (282019Z NOV 03) 1029 (291750Z JUN 06); 17I6(180742Z SEP 04); 2535 (051805ZJUL05); 1_716(180742Z SEP 04); 2515 (301946Z JUN 05); 1_142 (041358Z AUG 06); 3051 (301235Z SEP 05); 2830 (29i304Z AUG 1998 (020752Z JAN 1150 1543 (111600Z AUG04); 1029 (291750Z JUN 06) 1959 (111700Z DEC 04); 2038 (211558ZJAN05)^^^BPHIHi 1091 (031835Z NOV 03); 1266 (052309Z JAN 04); ^••••|^HT63?"
1998,"""^^''^ There was also CIA reporting in 1998 that KSM was ""very close"" to On June 12, 2001, it was reported that ""Khaled"" was actively recruiting people to travel outside Afghanistan, including to the United States where colleagues were reportedly already in the country to meet them, to carry out terrorist-related activities for UBL."
1998,"The FBI information included that al-Mairi's brother ""traveled to Afghanistan in 1997-1998 to train in Bin - Ladencamps."""
1999,"l^^Hm09 (022030ZJUN03) ALEC^^B (052206ZJUN 03) [REDACTED] 94931 U.K. also reported that, in June of 1999, an individual assessed to be IssaprovidedMoazz^^ Begg vyith telephone numbers for a lawyer known as Sulyman."
1999,"Dhiren Barot (the other Issa), anested on August 3, 2004, was found to have been especially well-known among the U.K. extremist community, having written a popular book in 1999 expounding the virtues of jihad in Kashmir under the alias, ""Esa al-Hindi."""
1999,See Intelligence Community review of the Tall Buildings plotting included in CIA records with references to terrorist attacks in Russia in September 1999 against apartment buildings using traditionsd explosives and VBIEDs.
1999,"Accordingtoopensources,the1999bookadvocated""worldwidejihad""inordertobringnations""to Page 266 of 499 UNCL A SSIFIED 111!"
1999,"""^""^^^ Informationconcerningaboo^writtei^yDhirenBarot (under the alias ""Esa al-Hindi"") on jihad in Kashmir appeared in and CIA intelligence records as early as December 1999.^'^^'' At that time U.K. authorities had a number of U.K.-based extremists under investigation, including Moazzem Begg."
1999,"At that time the FBI reported that Ahmed Ressam, who was in a U.S. federal prison (arrested by U.S. border patrol with explosives in his vehicle in December 1999), reported that a U.K. national named ""Issa"" attended a terrorist training camp associated with al-Qa'ida in Afghanistan."
1999,"Dhiren Barot (the other Issa), anested on August 3, 2004, was found to have been especially well-known among the U.K. extremist community, having written a popular book in 1999 expounding the virtues of jihad in Kashmir under the alias, ""Esa al-Hindi."""
1999,"The CIA attorney described the ""striking"" similarities between the public debate surrounding the McCain amendment and the situation in Israel in 1999, in which the Israeli Supreme Court had ""ruled that several... techniques were possibly permissible, but require some form of legislative sanction,"" and that the Israeli """"^0 See CIA document entitled, ""INTERROGATION PROGRAM DRAFT PRESS BRIEFING,"" from April 2005. from: to Rizzo; Re: Interrogation Program-Going Public Draft Talking Points—CommentsDueto^B||iTie by COB TODAY Thanks; date: April 20, 2005, at 5:10:10 PM."
1999,CI^|||^^J^62213Z SEP 03) (cable referencing information collected in 1999) 49612 (281213Z JUL03) [REDACTED]72330 (t^ablediscusseshistoricalreporting).
1999,"""'^""^^ other U.S. government assessments also called into question the ""Tall Buildings"" plotting, which was loosely based on attacks that were conducted in Moscow in September 1999 using conventional explosives."
1999,See Intelligence Community review of the Tall Buildings plotting included in CIA records with references to terrorist attacks in Russia in September 1999 against apartment buildings using traditional explosives and VBIEDs.
1999,[who] got training in Afghanistan j^/^a^arly as December 1999.
1999,The al-Ghuraba student group was established in late 1999 by Jemaah Islamiyah (JI) leaders primarily to educate the sons of jailed JI leaders and to groom the studentsforpotentialleadershipandoperationalrolesinJI.
1999,"CIA records include a reference to the book and a description of its author (""a brother from England who was a Hindu and became a Muslim...[who^oUrainin^i^^hanistai^^^^^ail^s December 1999 (disseminated by the CIA on 12/31/99 in [foreign pailner] would later report tliat Dhiren Barot ""frequently"" appeared ""in reporting of terrorist training"" and had ""involvement in Jihad in occupied Kashmir, Pakistan, Afghanistan, and Malaysia, tliroughout the 1990s."""
1999,"OnMarch 2001,theFBI openedaninternationalterrorisminvestigationtargetinglymanFaris.^^^^ AccordingtoCIA records, the ""predication of the [FBI] Faris investigation was information provided by [foreign] authorities that [revealed] Faris' telephone number had been called by Islamic extremists operating in France, Belgium, Turkey and Canada,"" including ""millennium bomber"" Ahmad Ressam.^^^^ Ressam, currently serving a 65-year U.S. prison term, was arrested on December 14, 1999, en route to Los Angeles International Airport with explosives in the trunk of his car."
1999,"The CIA attorney described the ""striking"" similarities between the public debate surrounding the McCain amendment and the situation in Israel in 1999, in which the Israeli Supreme Court had ""ruled that several... techniques were possibly permissible, but require some form of legislative sanction,"" and that the Israeli """"^0 See CIA document entitled, ""INTERROGATION PROGRAM DRAFT PRESS BRIEFING,"" from April 2005. from: to Rizzo; Re: Interrogation Program-Going Public Draft Talking Points—CommentsDueto^B||iTie by COB TODAY Thanks; date: April 20, 2005, at 5:10:10 PM."
1999,See Intelligence Community review of tlie Tall Buildings plotting included in CIA records with references to terrorist attacks in Russia in September 1999 against apartment buildings using tiaditional explosives and VBIEDs.
1999,"OnMarch 2001,theFBI openedaninternationalterrorisminvestigationtargetinglymanFaris.^^^^ AccordingtoCIA records, the ""predication of the [FBI] Faris investigation was information provided by [foreign] authorities that [revealed] Faris' telephone number had been called by Islamic extremists operating in France, Belgium, Turkey and Canada,"" including ""millennium bomber"" Ahmad Ressam.^^^^ Ressam, currently serving a 65-year U.S. prison term, was arrested on December 14, 1999, en route to Los Angeles International Airport with explosives in the trunk of his car."
1999,"""According to intelligence reports, in 1999, 'Abu Issa' stayed with Moazzem Begg^""^^^ at the Maktabah al-Ansar bookstore in Birmingham, U.K.,"" and that this ""Issa"" was in contact with other U.K. extremists.According to reporting, Begg was associated with two ""al-Qa'ida operatives"" arrested in 1999 for their involvement in terrorist plotting and later r e l e a s e d ."
1999,"The other Issa, Dhiren Barot, arrested on August 3, 2004, was found to have been especially well-known among the U.K.-based extremist community, having written a popular book in 1999 expounding the virtues of jihad in Kashmir under the alias, ""Esa al-Hindi."""
1999,"The other Issa, Dhiren Barot, arrested on August 3, 2004, was found to have been especially well-known among the U.K.-based extremist community, having written a popular book in 1999 expounding the virtues of jihad in Kashmir under the alias, ""Esa al-Hindi."""
2000,"""Al-Muhajir's"" form—dated July 24, 2000—listed other identifying information, to include a ""10/18/70"" date of birth; language skills to include English, Spanish, and Arabic; travels to Egypt, Saudi Arabia, and Y emen; and the individual's marital status."
2000,"On August 16, 2007, Jose Padilla and two co-defendants, Adham Hassoun and Kifah Jayyousi, were found guilty of three criminal offenses relating to terrorist support activities from October 1993 to November 1, 2001.^^^° The case against Jose Padilla centered on his attendance at a terrorist training camp in Afghanistan in the fall of 2000—specifically, the terrorist training camp application form acquired by the CIA and providedtotheFBIinDecember2001."
2000,"On August 16, 2007, Jose Padilla and two co-defendants, Adham Hassoun and Kifah Jayyousi, were found guilty of three criminal offenses relating to terrorist support activities from October 1993 to November 1, 2001.^^^° The case against Jose Padilla centered on his attendance at a terrorist training camp in Afghanistan in the fall of 2000—specifically, the terrorist training camp application form acquired by the CIA and providedtotheFBIinDecember2001."
2000,"KSM stated that he had met him ""on at least one occasion"" at the home of Maosoo^^an in Karachi in approximatelyl999or2000^his information was alsosentonMarch18,2003,inALEC]|HH(180200ZMAR03)."
2000,"A report from August 1, 2000, stated that U.K. authorities raided Begg's bookstore and found an invoice for 5000 copies of a book entitled, ""The Army of Madina in Kashmir."""
2000,"A November 23, 2007, CIA intelligence product, ""Al-Qa'ida Watch,"" with the title, ""Probable Identification of Suspected Bin Ladin Facilitator Abu Ahmad al-Kuwaiti,"" details how a: ""review of 2002 debriefings of a [foreign government] detainee who claimed to have traveled in 2000 from Kuwait to Afghanistan with an 'Ahmad al- Kuwaiti' provided the breakthrough leading to the likely identification of Habib al-Rahman as Abu Ahmad."
2000,"KSM stated that he had met him ""on at least one occasion"" at the home of Maosoo^^an in Karachi in approximatelyl999or2000^his information was alsosentonMarch18,2003,inALEC]|HH(180200ZMAR03)."
2000,"On August 16, 2007, Jose Padilla and two co-defendants, Adham Hassoun and Kifah Jayyousi, were found guilty of three criminal offenses relating to terrorist support activities from October 1993 to November 1, 2001.^^^° The case against Jose Padilla centered on his attendance at a terrorist training camp in Afghanistan in the fall of 2000—specifically, the terrorist training camp application form acquired by the CIA and providedtotheFBIinDecember2001."
2000,"SeealsoopensourcereportingonU.K.raids of the bookstore in the year 2000, as well as subsequentraids, including."
2000,"A November 23, 2007, CIA intelligence product, ""Al-Qa'ida Watch,"" with the title, ""Probable Identification of Suspected Bin Ladin Facilitator Abu Ahmad al-Kuwaiti,"" details how a: ""review of 2002 debriefings of a [foreign government] detainee who claimed to have traveled in 2000 from Kuwait to Afghanistan with an 'Ahmad al- Kuwaiti' provided the breakthrough leading to the likely identification of Habib al-Rahman as Abu Ahmad."
2000,"A November 23, 2007, CIA intelligence product, ""Al-Qa'ida Watch,"" with the title, ""Probable Identification of Suspected Bin Ladin Facilitator Abu Ahmad al-Kuwaiti,"" details how a: ""review of 2002 debriefings of a [foreign government] detainee who claimed to have traveled in 2000 from Kuwait to Afghanistan with an 'Ahmad al- Kuwaiti' provided the breakthrough leading to the likely identification of Habib al-Rahman as Abu Ahmad."
2001,"i-ifw August 25, 2001, CIA Headquarters cable referenced by the House Permanent Select Committee on Intelligence and the Senate Select Committee on Intelligence investigations, as well as the Twelfth Public Hearing on tlie ""National Commission on Terrorist Attacks Upon the United States,"" June 16, 2004."
2001,"Zacarias Moussaoui was arrested on August 16,2001."
2001,"Faruq al-Tunisi remains ALEC (151618Z OCT 03); Although the operation was disrupted with his arrest, bin Arshad claimed to officers of a foreign government that the operation was halted prior to his detention, specifically, when Richard Reid's shoe-bomb explosive concealment method was uncovered in December 2001."
2001,"Hambali—who was associated with these Malaysians—stated he ""did not know why the operation was cancelled,"" but surmised it might be because of the September 11, 2001, attacks, or becauseZainiZakaria""gotcoldfeet."""
2001,"During the interrogation, the CIA debriefer stated that there was information suggesting that Zakaria was funded by al-Qa'ida to take flight lessons in September 2001."
2001,"See April 16, 2008, CIA ""Backgrounder: Chronology of Interrogation Approvals, 2001-2003"" (noting that ""CIA documentation and discussions with Presidential briefers and individuals involved with the interrogation program at the time suggest that details on enhanced interrogation techniques (EITs) were not shared with the President"" in the 2001-2003 timeframe); CIA Q&A, Topic: Waterboarding (""The information we have indicates the President was not briefed by CIA regarding the specific interrogation techniques until April 2006, and at that time DCIA Goss briefed himonthesevenEITsproposedatthattimeforthepost-DetaineeTreatmentActCIAinterrogationprogram."")."
2001,"Underquestioning,HjjjH[Person1] stated that Gunawan encouraged ||||[|||||||||| [Person 1] to pursue his interest in au-craft and ""attempted in late 2001 and early 2002 to recruit him for pilot training/^eMhecablej^^^^B[Per^ 1] deflected these requests from Page 256 of 499 UNCLASSIFIED I(II 11 III I I111!"
2001,"Mill I ?UNCLASSIFIED heawareofwhetherthePresidenthadbeenbriefedbyhisstaff,""^^""^ TheMay2004CIA Inspector General Special Review included a recommendation for the DCI to: ""Brief the President regarding the implementation of the Agency's detention and inten-ogation activities pursuant to the MON of 17 September 2001 or any other authorities, including the use of EITs and the fact that detainees have died."
2001,"While records indicate KSM did provide the initial information on ""Issa's"" tasking to conduct casings in the United States prior to the September 11, 2001, attacks,'""^^- as well as information on an email address related to Issa,^""^^^^ this information wasprovidedwithinalargerbodyoffabricatedreportingKSMprovidedonIssa."
2001,"I ( III I ?TOP SECRET// //NOFORN UNCL A SSIFIED ""Issa"" appeared in CIA records again in July 2001."
2001,"'^^^ On March 17, 2003, KSM stated that, prior to the September 11, 2001, attacks, he tasked Issa to travel to the United States to ""collect information on economic targets."""
2001,"See also CIA Intelligence Assessment, August 16, 2006, ""Countering Misconceptions About Training Camps in Afghanistan, 1990-2001."""
2001,"Special Review, Office of the Inspector General, Countertenorism Detention and Inteixogation Activities (September 2001 - October 2003) (2003-7123-IG), 7 May 2004, p. 40 (DTS #2004-2710)."
2001,"KSMthen statedthathehadtalkedwith Issa aboutcontactingAfricanAmericanMuslimgroupspriorto September 11, 2001 The next day KSM was waterboarded for failing to provide more information on the recruitment of African American Muslims."
2001,"Like the November 26, 2001, draft memo, the OLC memorandum addressed the Israeh example."
2001,"'^^^ CIA records indicate that lyman Paris was known to the U.S. IntelligenceCommunitypriortotheattacksofSeptember11,2001."
2001,"November 26, 2001, Draft of Legal Appendix, ""Hostile Interrogations: Legal Considerations for CIA Officers."""
2001,"OnMarch 2001,theFBI openedaninternationalterrorisminvestigationtargetinglymanFaris.^^^^ AccordingtoCIA records, the ""predication of the [FBI] Faris investigation was information provided by [foreign] authorities that [revealed] Faris' telephone number had been called by Islamic extremists operating in France, Belgium, Turkey and Canada,"" including ""millennium bomber"" Ahmad Ressam.^^^^ Ressam, currently serving a 65-year U.S. prison term, was arrested on December 14, 1999, en route to Los Angeles International Airport with explosives in the trunk of his car."
2001,"According to CIA records, as ""a result of a post 9/11 lead,"" the FBI interviewed lyman Faris shortlyafterdieattacksofSeptember11,2001."
2001,"'^^'^ OnNovember 2001,theFBIclosedits invesrigation of lyman Faris for unknown reasons."
2001,"ii( III I Page 284 of 499 UNCLASSIFIED ?UNCL A SSIFIED TOP iSECRET// //NOFORN Further Details: Sajid was selected by al-Qa'ida leaders, including Abu Hafs al-Masri and Sayf al-'Adl, to can-y out an attack against a Western airliner withRichardReidusingashoebombexplosivedeviceinDecember2001.^^'^ SajidBadat returned to the United Kingdom in late 2001 and sent a message to his al-Qa'ida handler, Ammar al-Baluchi, stating that he was withdrawing from the operation.^^^^ On December 22, 2001, Note on CIA records related to U.K.-based ""Issas"": Two United Kingdom-based al-Qa'ida associates, Dhiren Barot and Sajid Badat, were known by the same common aliases, Issa, Abu Issa, Abu Issa al-Britani (""[of] Britain"") and/or Issa al-Pakistanl."
2001,"""^^'^ In at least one CIA document prepared for the president, the CIA specifically highlighted the waterboard interrogation technique in enabling the CIA to learn ""that Sajid Badat was the operative slated to launch a simultaneous shoe bomb attack with Richard Reid in 2001."
2001,"On August 16, 2007, Jose Padilla and two co-defendants, Adham Hassoun and Kifah Jayyousi, were found guilty of three criminal offenses relating to terrorist support activities from October 1993 to November 1, 2001.^^^° The case against Jose Padilla centered on his attendance at a terrorist training camp in Afghanistan in the fall of 2000—specifically, the terrorist training camp application form acquired by the CIA and providedtotheFBIinDecember2001."
2001,"50November7,2001,DraftofLegalAppendix,""HandlingIntenogation.""SeealsoVolumeI."
2001,"Inspector General, Special Review, Counterterrorism Detention and Interrogation Activities (September 2001- October 2003), May 7, 2004 (DTS #2004-2710)."
2001,"AccordingtoaCIAoperationalupdate,inearlyDecember2001,aunilateralCIAsourcereported that aknown extremist ""indicated there would be an attack on either an American or British airliner, originating in France,Germany,orBritain,withtheuseofexplosivesconcealedinshoes."""
2001,"AccordingtoCIArecords,an unclassified notice distnbuted to airlines concerning information from the CIA source in early December 2001 ""is credited with having alerted flight crew personnel and theii* having reacted so swiftly to Reid's actions"" aboard Flight 63."
2001,"The document states that ''after applying interrogation techniques,"" the CIA ""learned from KSM and Ammar that Sajid Badat was the operative slated to launch a simultaneous shoe bomb attack with Richard Reid in December 2001."
2001,"A body of intelligence collected after the December 22, 2001, attempted shoe bomb attack by Richard Reid indicated that the proposed partner ""backed out of the operation."""
2001,"All intelligence collected after the December 22, 2001, attempted shoe bomb attack by Richard Reid indicated that his proposed partner ""backed out of the operation."""
2001,KSM said Badat was an operative slated to launchashoe-bombattacksimultaneouslywithRichardReidinDecember2001.
2001,This Conomittee Study documents the abuses and countless mistakes made between late 2001 and early 2009.
2001,nil M ill Page 288 of 499 UNCLASSIFIED ?TOP SECRET/^ //NOFORN UNCL A SSIFIED he knew as 'Issa al-Pakistani'—as the operative who was slated to launch a simultaneous shoe bomb attack with Richard Reid in December 2001.
2001,"This volume addresses the detention and interrogation of 119 CIA detainees, from the program's authorization on September 17, 2001, to its official end on January 22, 2009, to include information on their capture, detention, interrogation, and conditions of confinement."
2001,"CIA Briefingfor Obama National Security Team- ""Renditions, Detentions, and Intenogations (RDI),"" including ""Tab 7,"" named ""RDG Copy- Briefing on RDI Program 09 Jan. 2009"": ""...[L]eads provided by KSM and Ammar al-Baluchi in November 2003 led directly to the anest in the United Kingdom of Sajid Badat tlie operative who was slated to launch a simultaneous shoe-bomb attack with Richard Reid in December 2001."""
2001,"(SeeCIAInspectorGeneralSpecialReview,Counterteri'orismDetention and Interrogation Activities (September 2001 - October 2003) (2003-7123-IG), 7 May 2004)."
2001,"O n August 16, 2001, the President Josh Bolten; CIA Rendition, Detention, and Interrogation Programs,"" dated May 2, 2006; as well as ""TalkingPointsfor 10March2005DCIMeeting PC:Effectiveness of theHigh-Value Interrogation (HVDI) Techniques,"" dated March 2, 2005."
2001,"^^^^Cl^ecord (""Call Details Incoming and Outgoing"") relating to calling activity for phone number ACIA document provided to the Committee or^c^er 25, 2013, (DTS #2013-3152), states that the CIA was collecting on Abu Ahmad al-Kuwaiti's phone ( # H ^ H ) early as November 2001, and that it was collection from this time that was used to make voice comparisons to later collection targeting Abu Ahmad al- Kuwaiti."
2001,"The briefing document states: ""Shoe Bomber: Sajid Badat, an operative slated to launch a simultaneous shoe bomb attack with Richard Reid in December 2001, identified and captured."
2001,"xhe CIA also credited Abu Zubaydali, who was captured in March 2002, wltli identifying Richard Reid, who was aiTested in December 2001."
2001,"Inspector General, Special Review, Counterterrorism Detention and Interrogation Activities (September 2001- October 2003), May 7, 2004 (DTS #2004-2710)."
2001,"""^^""^® The CIA highlighted in a July 2002 cable that this information matched previous reporting from a European government that identified a ""Saajid Badat,"" of Gloucester, United Kingdom, with a date of birth of March 28, 1979, as a person suspected of being involved in terrorist activityAdditional analysis of the phone card connecting Badat and Reid—as well as other intelligence—placed Sajid Badat and Richard Reid together in Belgium in September 2001.^^""^^ According to Sajid Badat was linked to other well-known extremists in the United Kingdom who were already under investigation."
2001,"TOP SECRET// //NOFORN UNCLASSIFIED 2586 Special Review, Office of the Inspector General, Counterterrorism Detention and Inteixogation Activities (September 2001 - October 2003) (2003-7123-IG), 7 May 2004, p. 35 (DTS #2004-2710)."
2001,"(^See transcript of Senate Select Committee on Intelligence MON briefing, November 7, 2001 (DTS #2002-0611); see also transcript of Senate Select Committee on Intelligenc^ta^briefing, December 11, 2001 (DTS #2002-0615)."
2001,"Tlie same source had provided reporting on an ""attack... against an airliner originating in France, Germany, or Britain, with the use of explosives concealed in shoes"" just prior to Richard Reid's attempted use of explosives concealed in shoes on December 21, 2001."
2001,"On April 24, 2002, the CIA notified the Committee about the capture of Abu Zubaydah with the understanding that the location of Abu Zubaydah's detention was among the ""red lines"" not to be divulgedtotheCommittee.^'^''^ Thenotificationandsubsequentinformationprovidedtothe 2446 Transcript of Senate Select Committee on Intelligence staff briefing, November 13, 2001 (DTS #2002-0629)."
2001,"investigators and confirmed he withdrew from a shoe bomb operation with Richard Reid in December 2001.^^^^ On November 28, 2003, the United Kingdom provided a detailed account to the CIA on how investigative efforts in the United Kingdom led to the identification of Sajid Badat, noting that ""key aspects"" ofreportin^cquirc^ron^IA^.S."
2001,"On November 26, 2001, attorneys in the CIA's Office of General Counsel circulated a draft legal memorandum describing the criminal prohibition on torture and a potential ""novel"" legal defense for CIA officers who engaged in torture."
2001,"The [foreignpartner]reportliighlightshowthe""[anamedforeign government] reported that on the 13 September 2001 Nizar [Trabelsi] was arrested for his alleged involvement in planning a terrorist attack against the American Embassy in Paris"" and how Trabelsi was connected to a phone card ""recovered from Richard Colvin Reid"" but found to have been used by Sajid Badat."
2001,"Further Details: After the September 11, 2001, attacks against the United States, KSM sought to target the United Kingdom using hijacked aircraft and surmised that Heathrow Airport and a building in Canary Wharf, a major business district in London, were powerfuleconomicsymbols.^^^^ Theinitialplanwasforal-Qa'idaoperativestohijackmultiple airplanes departing Heathrow Airport, turn them around, and crash them into the airport itself."
2001,"Hambali was linked to terrorist activity prior to the September 11, 2001, attacks."
2001,"Prior to his capture, Hambali was known to have played a supporting role in the KSM and Ramzi Yousef ""Bojinka Plot,"" an effort in early 1995 to place explosives on 12 United States-flagged aircraft and destroy them mid-flight.By the end of 2001, Hambali was suspected of playing a supporting role in the September 11, 2001, terrorist attacks, as well as helping to enroll Zacai-ias Moussaoui in flight s c h o o l ."
2001,"See United States Court ofAppeals^AugustTe 2001, U.S. vRamzi Ahmed Yousef, and DIRECTOR (^•1 JAN02)."
2001,"December 15, 2001, CIA Briefing Document, ""DCI Highlights."""
2001,"O n September 25, 2002, the CIA reported that an individual in FBI custody since May 2002, Mohammed Mansour Jabarah, reported that in November 2001, he collected $50,000 from KSM for a Hambali-directed terrorist operation targeting U.S. interests, as well as at least one other $10,000 p a y m e n t ."
2001,"""*^^ In contrast to proposals from late 2001, when CIA personnel expected that any detention facility would have to meet U.S. prison standards, the confinement guidelines signed in January 2003 set forth minimal standards for a detention facility."
2001,"After the Use of the CIA's Enhanced Interrogation Techniques, CIA Headquarters Questions Detention ofDetainee and Recommends Release; Detainee Transferred to U.S. Military Custody and Heldfor An Additional Four Years In October 2003, the CIA interrogated Arsala Khan, an Afghan national in his mid-fifties who was believed to have assisted Usama bin Laden in his escape throughtheToraBoraMountainsinlate2001.^^^ After56hoursofstandingsleepdeprivation, Arsala Khan was described as barely able to enunciate, and being ""visibly shaken by his hallucinations depicting dogs mauling and killing his sons and family."""
2001,"O n the same day, September 25, 2002, a CIA cable stated that Masran bin Arshad, while in the custody of a foreign government, had detailed his connections to Abu Ahmad al-Kuwaiti and KSM.^^'^ According to bin Arshad, after KSM's ""Second Wave"" plotting was ""abandoned"" in late 2001, bin Arshad was tasked by KSM to meet with Abu Ahmad al-Kuwaiti in Pakistan and to deliver $50,000 to HambaH for terrorist operations."
2001,"The cables did not explain any legal basis for detaining individuals who did not meet the detention requirements oftheSeptember17,2001,MON."
