serial,opeid,institution,address,city,state,zip,repayment_borrowers,default_borrowers,default_rate,borrower_default_count_240,principal_outstanding_240
2396,251700,Missouri University of Science & Technology,300 West 13th Street,Rolla,MO,65409-0250,342,61,17.84%,294,685063
2353,248900,Missouri Valley College,500 East College Street,Marshall,MO,65340-3197,51,5,9.80%,641,847672
2354,249000,Missouri Western State University,4525 Downs Drive,Saint Joseph,MO,64507-2294,113,20,17.70%,437,599461
2360,249600,Northwest Missouri State University,800 University Drive,Maryville,MO,64468-6001,216,21,9.72%,89,115360
2363,249800,Park University,8700 Northwest River Park Drive,Parkville,MO,64152-3795,68,10,14.71%,66,207828
2310,1040500,Pinnacle Career Institute,1001 E. 101st Terrace,Kansas City,MO,64131-3367,46,17,36.96%,34,44533
5743,639200,Research Medical Center,2316 East Meyer Boulevard,Kansas City,MO,64132-1199,1,0,0%,0,0
2368,249900,Rockhurst University,1100 Rockhurst Road,Kansas City,MO,64110-2561,166,33,19.88%,239,360100
2371,250400,Saint Louis College of Pharmacy,4588 Parkview Place,Saint Louis,MO,63110-1088,35,3,8.57%,7,38494
2375,250600,Saint Louis University,One Grand Boulevard,Saint Louis,MO,63103-2097,412,27,6.55%,236,976678
5457,978200,Saint Luke's College of Health Sciences,624 Westport Road,Kansas City,MO,64111-3128,25,5,20.00%,24,65119
2382,250100,Southeast Missouri State University,One University Plaza,Cape Girardeau,MO,63701-4799,167,26,15.57%,340,869512
2383,250200,Southwest Baptist University,1600 University Avenue,Bolivar,MO,65613-2597,232,36,15.52%,557,1206868
2386,251200,Stephens College,1200 East Broadway,Columbia,MO,65215-0001,86,17,19.77%,114,335212
2359,249500,Truman State University,100 East Normal Street,Kirksville,MO,63501-4221,272,19,6.99%,149,283065
2293,245400,University of Central Missouri,202 Administration Building,Warrensburg,MO,64093-5001,446,54,12.11%,460,1058337
2394,251600,University of Missouri - Columbia,11 Jesse Hall,Columbia,MO,65211-1600,1063,65,6.11%,440,876800
2395,251800,University of Missouri - Kansas City,5100 Rockhill Road,Kansas City,MO,64110-2497,423,77,18.20%,679,1219717
2397,251900,University of Missouri - Saint Louis,One University Boulevard,St Louis,MO,63121-4499,237,50,21.10%,479,493954
2399,252000,Washington University in St. Louis,One Brookings Drive,St Louis,MO,63130-4899,926,25,2.70%,233,1427003
2402,252100,Webster University,470 East Lockwood Avenue,Saint Louis,MO,63119-3194,99,26,26.26%,147,413997
2404,252300,Westminster College,501 Westminster Avenue,Fulton,MO,65251-1299,35,8,22.86%,74,144545
2405,252400,William Jewell College,500 College Hill,Liberty,MO,64068-1896,131,12,9.16%,201,420647
2406,252500,William Woods University,One University Avenue,Fulton,MO,65251-2388,52,8,15.38%,95,199661
2226,239600,Alcorn State University,1000 ASU Drive,Alcorn State,MS,39096-7500,5,2,40.00%,1695,846454
2229,239700,Belhaven University,1500 Peachtree Street,Jackson,MS,39202-1789,30,5,16.67%,62,145033
2230,239800,Blue Mountain College,201 West Main Street,Blue Mountain,MS,38610-9370,0,0,0%,75,131784
2235,240300,Delta State University,Highway 8 West,Cleveland,MS,38733-0000,101,21,20.79%,389,520614
2237,240400,East Central Community College,275 West Broad Street,Decatur,MS,39327-0129,0,0,0%,93,32261
2245,241000,Jackson State University,1400 J. R. Lynch Street,Jackson,MS,39217-0001,137,51,37.23%,2385,2165201
2246,241100,Jones County Junior College,900 South Court Street,Ellisville,MS,39437-3999,0,0,0%,4,3527
2248,241300,Meridian Community College,910 Highway 19 North,Meridan,MS,39307-5890,0,0,0%,55,21889
2249,241400,Millsaps College,1701 North State Street,Jackson,MS,39210-0001,55,7,12.73%,111,294227
2251,241500,Mississippi College,200 South Captiol Street,Clinton,MS,39058-0001,94,20,21.28%,225,456979
2256,242300,Mississippi State University,Lee Boulevard,Mississippi State,MS,39762-9698,516,77,14.92%,629,2325078
2255,242200,Mississippi University for Women,1100 College Street,Columbus,MS,39701-5818,81,6,7.41%,81,212997
2266,243300,Rust College,150 Rust Avenue,Holly Springs,MS,38635-2328,0,0,0%,1037,468106
2269,243900,Tougaloo College,500 West County Line Road,Tougaloo,MS,39174-9799,30,15,50.00%,721,493242
2270,244000,University of Mississippi,123 Lyceum Building,University,MS,38677-1848,527,60,11.39%,623,1736461
2272,244100,University of Southern Mississippi,118 College Drive,Hattiesburg,MS,39406-0001,1576,245,15.55%,1167,3716972
2278,244700,William Carey University,489 Tuscan Avenue,Hattiesburg,MS,39401-5499,65,9,13.85%,106,113659
2411,252600,Carroll College,1601 North Benton Avenue,Helena,MT,59625-0002,101,10,9.90%,131,264629
2414,252900,Dawson Community College,300 College Drive,Glendive,MT,59330-1405,24,8,33.33%,24,49745
2421,252800,Miles Community College,2715 Dickinson,Miles City,MT,59301-4799,0,0,0%,24,28895
2415,253000,Montana State University - Billings,1500 University Drive,Billings,MT,59101-0298,142,18,12.68%,584,1009951
2426,253300,Montana State University - Northern,300 West 11th Street,Havre,MT,59501-3148,85,21,24.71%,218,304795
2425,253200,Montana State University Bozeman,Strand Union Building  Room 183,Bozeman,MT,59717-4160,920,74,8.04%,581,1182032
2424,253100,Montana Tech of the University of Montana,1300 West Park Street,Butte,MT,59701-8997,51,17,33.33%,74,193776
2427,253400,Rocky Mountain College,1511 Poly Drive,Billings,MT,59102-1796,0,0,0%,88,157235
2413,252700,University of Great Falls,1301 20th Street South,Great Falls,MT,59405-4996,93,25,26.88%,129,240125
2428,253600,University of Montana (The),33 Campus Drive,Missoula,MT,59812-0001,692,82,11.85%,907,1491834
2429,253700,University of Montana Western (The),710 South Atlantic Street,Dillon,MT,59725-3598,46,15,32.61%,137,174041
3056,290600,Appalachian State University,Dougherty Administration Building,Boone,NC,28608-0001,228,25,10.96%,271,620726
3059,290800,Barton College,704A College Street,Wilson,NC,27893-3104,43,8,18.60%,274,539015
3062,291000,Belmont Abbey College,100 Belmont Mount Holly Road,Belmont,NC,28012-1802,3,1,33.33%,23,37522
3063,291100,Bennett College,900 East Washington Street,Greensboro,NC,27401-3239,59,7,11.86%,204,234210
3068,291200,Brevard College,1 Brevard College Drive,Brevard,NC,28712-3306,55,17,30.91%,72,109772
3082,781400,Brookstone College of Business,10125 Berkeley Place Drive,Charlotte,NC,28262-1294,0,0,0%,8,12710
3070,291300,Campbell University,143 Main Street,Buies Creek,NC,27506-0036,106,17,16.04%,326,671969
3073,291400,Catawba College,2300 West Innes Street,Salisbury,NC,28144-2488,64,11,17.19%,90,343377
3078,291600,Chowan University,One University Place,Murfreesboro,NC,27855-1850,46,6,13.04%,186,294057
3085,291800,Davidson College,Concord and Main Streets,Davidson,NC,28035-0000,31,0,0%,1,972
3087,292000,Duke University,2122 Campus Drive,Durham,NC,27708-0397,845,14,1.66%,283,1294134
3090,292300,East Carolina University,East Fifth Street,Greenville,NC,27858-1818,593,89,15.01%,736,1679377
3094,292600,Elizabeth City State University,1704 Weeksville Road,Elizabeth City,NC,27909-7806,67,31,46.27%,761,545081
3095,292700,Elon University,100 Campus Drive,Elon,NC,27244-2010,91,4,4.40%,94,273932
3097,292800,Fayetteville State University,1200 Murchison Road,Fayetteville,NC,28301-4298,97,13,13.40%,237,562085
3100,292900,Gardner - Webb University,110 South Main Street,Boiling Springs,NC,28017-0000,140,21,15.00%,315,844271
3102,293000,Greensboro College,815 West Market Street,Greensboro,NC,27401-1875,73,7,9.59%,148,321227
3103,293100,Guilford College,5800 West Friendly Avenue,Greensboro,NC,27410-4171,141,14,9.93%,126,571017
3108,293300,High Point University,833 Montlieu Avenue,High Point,NC,27262-4221,39,5,12.82%,161,348445
3110,768700,James Sprunt Community College,133 James Sprunt Drive,Kenansville,NC,28349-0398,0,0,0%,3,159
3113,293600,Johnson C Smith University,100 Beatties Ford Road,Charlotte,NC,28216-5398,44,8,18.18%,565,666017
3116,293700,King's College,322 Lamar Avenue,Charlotte,NC,28204-2435,141,21,14.89%,111,215360
3120,293900,Lees-McRae College,375 College Drive,Banner Elk,NC,28604-0000,31,7,22.58%,40,82742
3122,294100,Lenoir-Rhyne University,625 Seventh Avenue Northeast,Hickory,NC,28601-3984,46,10,21.74%,71,196690
3124,294300,Louisburg College,501 North Main Street,Louisburg,NC,27549-2398,46,15,32.61%,177,346538
3126,294400,Mars Hill College,124 Cascade Street,Mars Hill,NC,28754-0000,60,15,25.00%,261,560954
3130,294500,Meredith College,3800 Hillsborough Street,Raleigh,NC,27607-5298,30,9,30.00%,76,133473
3131,294600,Methodist University,5400 Ramsey Street,Fayetteville,NC,28311-1420,51,3,5.88%,89,123267
3135,294800,Montreat College,310 Gaither Circle,Montreat,NC,28757-1267,44,5,11.36%,103,140391
3136,294900,Mount Olive College,634 Henderson Street,Mount Olive,NC,28365-1299,37,10,27.03%,135,208762
3138,290500,North Carolina Agricultural & Technical State University,1601 East Market Street,Greensboro,NC,27411-0001,118,15,12.71%,328,453445
3139,295000,North Carolina Central University,1801 Fayetteville Street,Durham,NC,27707-3198,137,12,8.76%,1812,2906792
3141,297200,North Carolina State University,20 Watauga Club Drive,Raleigh,NC,27695-7001,555,31,5.59%,587,1099665
3142,295100,North Carolina Wesleyan College,3400 North Wesleyan Boulevard,Rocky Mount,NC,27804-8699,48,8,16.67%,195,294266
3146,295500,Pfeiffer University,48380 US 502 Highway North,Misenheimer,NC,28109-0000,40,13,32.50%,264,418408
3151,295700,Queens University of Charlotte,1900 Selwyn Avenue,Charlotte,NC,28274-0001,3,1,33.33%,74,75977
3161,296800,Saint Augustine's University,1315 Oakwood Avenue,Raleigh,NC,27610-2298,129,21,16.28%,891,4367307
3163,296000,Salem College,601 South Church Street,Winston-Salem,NC,27101-5376,27,3,11.11%,7,51129
3168,296200,Shaw University,118 East South Street,Raleigh,NC,27601-2393,71,28,39.44%,843,1079241
3075,1026400,South College,140 Sweeten Creek Road,Asheville,NC,28803-0000,101,42,41.58%,211,304077
3171,296400,Southeastern Community College,4564 Chadbourn Highway,Whiteville,NC,28472-5422,0,0,0%,31,12837
3179,290700,University of North Carolina  Asheville,1 University Heights,Asheville,NC,28804-8503,96,20,20.83%,86,257841
3180,297400,University of North Carolina - Chapel Hill,102 South Building,Chapel Hill,NC,27599-9100,945,60,6.35%,572,2372042
3181,297500,University of North Carolina - Charlotte,9201 University City Boulevard,Charlotte,NC,28223-0001,191,45,23.56%,420,1038730
3182,297600,University of North Carolina - Greensboro,1000 Spring Garden Street,Greensboro,NC,27412-0001,168,13,7.74%,246,737854
3145,295400,University of North Carolina at Pembroke,One University Drive,Pembroke,NC,28372-1510,30,12,40.00%,179,383808
3183,298400,University of North Carolina at Wilmington (The),601 South College Road,Wilmington,NC,28403-3297,209,24,11.48%,192,616781
3140,398100,University of North Carolina School of the Arts,1533 South Main Street,Winston-Salem,NC,27127-2188,62,12,19.35%,52,120264
3185,297800,Wake Forest University,1834 Wake Forest Road,Winston-Salem,NC,27109-7246,325,12,3.69%,126,552842
3187,297900,Warren Wilson College,701 Warren Wilson Road,Swannanoa,NC,28778-2099,6,0,0%,12,25415
3189,298100,Western Carolina University,Highway 107,Cullowhee,NC,28723-9731,259,23,8.88%,190,584461
3195,298600,Winston-Salem State University,601 Martin L. King  Jr. Drive,Winston-Salem,NC,27110-0001,32,11,34.38%,277,436839
3200,298800,Bismarck State College,1500 Edwards Avenue,Bismarck,ND,58501-1299,104,6,5.77%,125,112750
3212,299500,Dakota College at Bottineau,105 Simrall Boulevard,Bottineau,ND,58318-1159,37,3,8.11%,77,93081
3204,298900,Dickinson State University,291 Campus Drive,Dickinson,ND,58601-4896,58,5,8.62%,101,174084
3205,299000,Jamestown College,6080 College Lane,Jamestown,ND,58405-3401,62,10,16.13%,130,337077
3206,299100,Lake Region State College,1801 College Drive North,Devils Lake,ND,58301-1598,37,2,5.41%,100,113485
3208,299300,Mayville State University,330 Third Street Northeast,Mayville,ND,58257-1299,56,9,16.07%,158,211066
3201,935400,Medcenter One College of Nursing,512 North 7th Street,Bismarck,ND,58501-4494,27,1,3.70%,2,3724
6566,299400,Minot State University,500 University Avenue West,Minot,ND,58707-0001,152,12,7.89%,283,512869
3211,299600,North Dakota State College of Science,800 North 6th Street,Wahpeton,ND,58076-0002,117,19,16.24%,186,454182
3213,299700,North Dakota State University - Main Campus - Fargo,1301 12th Avenue North,Fargo,ND,58102-0000,452,18,3.98%,434,599310
3217,1205900,Trinity Bible College,50 - 6th Avenue South,Ellendale,ND,58436-7105,41,17,41.46%,179,445096
3207,299200,University of Mary,7500 University Drive,Bismarck,ND,58504-9652,154,13,8.44%,107,102378
3221,300500,University of North Dakota,264 Centennial Drive,Grand Forks,ND,58202-8193,645,32,4.96%,815,2485516
3223,300800,Valley City State University,101 College Street Southwest,Valley City,ND,58072-0000,68,4,5.88%,95,166856
3222,300700,Williston State College,1410 University Avenue,Williston,ND,58801-4464,45,4,8.89%,73,73703
2440,253900,Chadron State College,1000 Main Street,Chadron,NE,69337-2690,53,3,5.66%,33,81982
2441,254000,College of Saint Mary,7000 Mercy Road,Omaha,NE,68106-2606,49,4,8.16%,57,123937
2442,254100,Concordia University,800 North Columbia Avenue,Seward,NE,68434-1594,72,6,8.33%,41,263195
2444,254200,Creighton University,2500 California Plaza,Omaha,NE,68178-0001,442,22,4.98%,197,871323
2446,254400,Doane College,1014 Boswell Avenue,Crete,NE,68333-2421,88,2,2.27%,105,102250
2449,254800,Hastings College,710 North Turner Avenue,Hastings,NE,68901-7621,143,14,9.79%,141,145571
5064,1151900,Joseph's College of Beauty,5801 O Street,Lincoln,NE,68510-2226,29,10,34.48%,268,560500
2460,255300,Midland University,900 North Clarkson Street,Fremont,NE,68025-4254,111,25,22.52%,246,663699
7575,640400,Nebraska Methodist College of Nursing & Allied Health,Josie Harper Campus,Omaha,NE,68114-2852,5,0,0%,2,2626
2462,255500,Nebraska Wesleyan University,5000 Saint Paul Avenue,Lincoln,NE,68504-2796,186,15,8.06%,103,122932
2476,256300,Union College,3800 South 48th Street,Lincoln,NE,68506-4387,96,8,8.33%,72,158140
2479,256500,University of Nebraska,201 Administration Building,Lincoln,NE,68588-0419,1063,131,12.32%,1034,1609679
2455,255100,University of Nebraska - Kearney,Founders Hall,Kearney,NE,68849-0001,176,10,5.68%,98,151881
2480,255400,University of Nebraska - Omaha,60th & Dodge Street,Omaha,NE,68182-0001,271,24,8.86%,262,828281
2478,689500,University of Nebraska Medical Center,984265 Nebraska Medical Center,Omaha,NE,68198-4265,119,2,1.68%,22,73890
2481,256600,Wayne State College,1111 Main Street,Wayne,NE,68787-1172,85,5,5.88%,35,47808
2483,256700,York College,1125 East 8th Street,York,NE,68467-2699,48,10,20.83%,163,299404
2500,257200,Colby-Sawyer College,541 Main Street,New London,NH,03257-4648,57,3,5.26%,18,60068
2510,473100,Daniel Webster College,20 University Drive,Nashua,NH,03063-1300,59,15,25.42%,103,229563
2503,257300,Dartmouth College,207 Parkhurst Hall,Hanover,NH,03755-3529,357,9,2.52%,154,973941
2505,257500,Franklin Pierce University,40 University Drive,Rindge,NH,03461-0060,125,19,15.20%,448,1142309
2519,258300,Great Bay Community College,320 Corporate Drive,Portsmouth,NH,03801-2807,23,7,30.43%,50,60825
2506,472900,Hesser College,3 Sundial Avenue,Manchester,NH,03103-7230,261,98,37.55%,857,1777047
2507,259000,Keene State College,229 Main Street,Keene,NH,03435-1504,225,26,11.56%,181,353896
2516,755500,Lakes Region Community College,379 Belmont Road,Laconia,NH,03246-1326,26,8,30.77%,42,27428
2517,258200,Manchester Community College,1066 Front Street,Manchester,NH,03102-8518,30,3,10.00%,61,73920
2518,923600,Nashua Community College,505 Amherst Street,Nashua,NH,03063-2052,31,6,19.35%,65,70092
2511,257900,New England College,98 Bridge Street,Henniker,NH,03242-3293,146,33,22.60%,296,652326
2513,258100,NHTI  - Concord's Community College,31 College Drive,Concord,NH,03301-7412,59,19,32.20%,224,214430
2521,259100,Plymouth State University of the University System of New Hampshire,17 High Street,Plymouth,NH,03264-1595,183,26,14.21%,301,437870
2515,756000,River Valley Community College,One College Place,Claremont,NH,03743-9707,19,4,21.05%,28,25678
2522,258600,Rivier University,420 South Main Street,Nashua,NH,03060-5086,63,11,17.46%,55,71849
2523,258700,Saint Anselm College,100 Saint Anselm Drive,Manchester,NH,03102-1310,99,4,4.04%,83,236212
2512,258000,Southern New Hampshire University,2500 North River Road,Manchester,NH,03106-1045,280,25,8.93%,252,437756
2524,258900,University of New Hampshire,Main Street,Durham,NH,03824-2511,1247,62,4.97%,785,1439695
5230,2097900,University of New Hampshire School of Law,2 White Street,Concord,NH,03301-9912,51,6,11.76%,28,106716
2514,529100,White Mountains Community College,2020 Riverside Drive,Berlin,NH,03570-3799,74,22,29.73%,100,76345
2529,259600,Atlantic Cape Community College,5100 Black Horse Pike,Mays Landing,NJ,08330-2699,0,0,0%,124,150873
2533,794700,Beth Medrash Govoha of America,617 Sixth Street,Lakewood,NJ,08701-2754,47,0,0%,32,33694
2542,259900,Centenary College,400 Jefferson Street,Hackettstown,NJ,07840-2184,61,18,29.51%,203,334150
2618,264200,College of New Jersey (The),2000 Pennington Road,Ewing,NJ,08628-0718,141,21,14.89%,470,1091519
2546,260000,College of Saint Elizabeth,2 Convent Road,Morristown,NJ,07960-6989,67,26,38.81%,181,417816
2554,260300,Drew University,36 Madison Avenue,Madison,NJ,07940-4063,125,15,12.00%,175,782162
2560,710700,Essex County College,303 University Avenue,Newark,NJ,07102-1798,0,0,0%,957,355399
2561,260700,Fairleigh Dickinson University,1000 River Road,Teaneck,NJ,07666-1996,376,38,10.11%,1258,2315151
2565,260800,Georgian Court University,900 Lakewood Avenue,Lakewood,NJ,08701-2697,1,1,100%,13,17836
2574,262200,Kean University,1000 Morris Avenue,Union,NJ,07083-7131,153,29,18.95%,523,556525
2584,261500,Middlesex County College,2600 Woodbridge Avenue,Edison,NJ,08818-3050,0,0,0%,97,69419
2585,261600,Monmouth University,400 Cedar Avenue,West Long Branch,NJ,07764-1898,353,31,8.78%,534,938723
2586,261700,Montclair State University,1 Normal Avenue,Montclair,NJ,07043-9987,239,81,33.89%,635,1434300
2571,261300,New Jersey City University,2039 Kennedy Boulevard,Jersey City,NJ,07305-1597,37,8,21.62%,476,692718
2589,262100,New Jersey Institute of Technology,323 Martin Luther King Blvd.,Newark,NJ,07102-1982,152,23,15.13%,399,554593
2591,262400,Ocean County College,College Drive,Toms River,NJ,08754-2001,0,0,0%,8,7260
5943,2131600,Pennco Tech,99 Erial Road,Blackwood,NJ,08012-9961,6,3,50.00%,26,45129
2595,262600,Princeton Theological Seminary,64 Mercer Street,Princeton,NJ,08540-0803,41,1,2.44%,61,246357
2596,262700,Princeton University,1 Nassau Hall,Princeton,NJ,08544-0001,148,1,0.68%,7,29871
2597,860900,Rabbinical College of America,226 Sussex Avenue,Morristown,NJ,07960-3600,0,0,0%,46,85256
2599,934400,Ramapo College of New Jersey,505 Ramapo Valley Road,Mahwah,NJ,07430-1680,71,20,28.17%,428,478378
2613,934500,Richard Stockton College of New Jersey (The),101 Vera King Farris Drive,Galloway,NJ,08205-9441,98,19,19.39%,308,622160
2600,262800,Rider University,2083 Lawrenceville Road,Lawrenceville,NJ,08648-3099,548,49,8.94%,719,1335688
2566,260900,Rowan University,201 Mullica Hill Road,Glassboro,NJ,08028-1702,0,0,0%,590,512356
2602,262900,Rutgers  the State University of New Jersey,Old Queens Building,New Brunswick,NJ,08901-1281,1434,152,10.60%,2787,6612083
2604,263800,Saint Peter's University,2641 Kennedy Boulevard,Jersey City,NJ,07306-5997,0,0,0%,66,107351
2610,263200,Seton Hall University,400 South Orange Avenue,South Orange,NJ,07079-2697,306,36,11.76%,1068,2857392
2612,263900,Stevens Institute of Technology,Castle Point on Hudson,Hoboken,NJ,07030-5370,256,33,12.89%,356,980197
2616,545200,Teterboro School of Aeronautics,80 Moonachie Avenue,Teterboro,NJ,07608-1083,8,2,25.00%,15,29391
2545,1039400,University of Medicine & Dentistry of New Jersey,30 Bergen Street,Newark,NJ,07107-3000,346,10,2.89%,67,536930
2633,262500,William Paterson University of New Jersey,300 Pompton Road,Wayne,NJ,07470-2152,108,50,46.30%,299,327038
2635,474200,Central New Mexico Community College,525 Buena Vista South East,Albuquerque,NM,87106-4096,28,2,7.14%,17,28900
2641,265100,Eastern New Mexico University,Highway #70,Portales,NM,88130-6000,275,32,11.64%,961,2576881
2646,265300,New Mexico Highlands University,National Avenue,Las Vegas,NM,87701-4436,41,5,12.20%,82,216675
2647,265400,New Mexico Institute of Mining & Technology,801 Leroy Place,Socorro,NM,87801-4796,49,5,10.20%,86,352159
2649,265600,New Mexico Military Institute,101 West College,Roswell,NM,88201-5173,10,6,60.00%,13,26942
2650,265700,New Mexico State University,University Avenue  MSC 5100,Las Cruces,NM,88003-8001,625,81,12.96%,846,2016944
2651,2083900,Northern New Mexico College,State Highway 554,El Rito,NM,87530-0000,32,3,9.38%,22,84389
2652,209300,Saint John's College,1160 Camino Cruz Blanca,Santa Fe,NM,87505-4599,37,2,5.41%,29,148586
2637,264900,Santa Fe University of Art and Design,1600 Saint Michael's Drive,Santa Fe,NM,87505-7634,34,13,38.24%,97,361918
2658,266300,University of New Mexico,Scholes Hall Room 160,Albuquerque,NM,87131-0001,310,27,8.71%,612,1496118
2659,266400,Western New Mexico University,1000 W. College Avenue,Silver City,NM,88061-5417,29,1,3.45%,291,554330
2495,2107700,Truckee Meadows Community College,7000 Dandini Boulevard,Reno,NV,89512-3999,58,12,20.69%,27,51206
2494,256800,University of Nevada   Reno,North Virginia Street,Reno,NV,89557-0002,211,14,6.64%,94,196038
2493,256900,University of Nevada - Las Vegas,4505 South Maryland Parkway,Las Vegas,NV,89154-1001,131,17,12.98%,212,489387
2663,266600,Adelphi University,South Avenue,Garden City,NY,11530-4299,261,23,8.81%,139,315314
2668,288500,Albany College of Pharmacy and Health Sciences,106 New Scotland Avenue,Albany,NY,12208-3492,98,5,5.10%,49,58580
2669,288600,Albany Law School of Union University,80 New Scotland Avenue,Albany,NY,12208-3494,79,4,5.06%,82,520911
5337,288700,Albany Medical College,47 New Scotland Avenue,Albany,NY,12208-3479,36,2,5.56%,19,185920
2671,266800,Alfred University,Carnegie Hall  1 Saxon Drive,Alfred,NY,14802-1205,164,16,9.76%,236,596941
2681,643500,Arnot Ogden Medical Center,600 Roe Avenue,Elmira,NY,14905-1676,1,0,0%,2,7700
2690,266900,Bank Street College of Education,610 West 112th Street,New York,NY,10025-1898,49,5,10.20%,17,86760
2691,267100,Bard College,Annandale Road,Annandale-on-Hudson,NY,12504-5000,92,9,9.78%,146,237188
2692,270800,Barnard College,3009 Broadway,New York,NY,10027-6598,40,3,7.50%,16,121282
2983,283600,Binghamton University,3600 Vestal Parkway East,Binghamton,NY,13902-6000,514,44,8.56%,571,729377
2712,267700,Brooklyn Law School,250 Joralemon Street,Brooklyn,NY,11201-3798,228,4,1.75%,133,393326
2716,268100,Canisius College,2001 Main Street,Buffalo,NY,14208-1098,294,48,16.33%,598,1088167
5341,2056400,Capri Cosmetology Learning Center,251 West Route 59,Nanuet,NY,10954-4915,0,0,0%,7,5124
2725,269900,Clarkson University,8 Clarkson Avenue,Potsdam,NY,13699-1403,208,12,5.77%,195,594035
2728,270100,Colgate University,13 Oak Drive,Hamilton,NY,13346-1386,104,3,2.88%,39,202662
2730,270300,College of Mount Saint Vincent,6301 Riverdale Avenue,Riverdale,NY,10471-1093,76,18,23.68%,150,190121
2731,270400,College of New Rochelle (The),29 Castle Place,New Rochelle,NY,10805-2339,176,20,11.36%,499,1434475
2733,270500,College of Saint Rose,432 Western Avenue,Albany,NY,12203-1490,83,12,14.46%,53,125223
2737,270700,Columbia University in the City of New York,210 Kent Hall,New York,NY,10027-0000,1283,80,6.24%,1795,7174719
2747,271000,Cooper Union for the Advancement of Science & Art (The),30 Cooper Square,New York,NY,10003-7120,9,3,33.33%,15,58150
2748,271100,Cornell University,300 Day Hall,Ithaca,NY,14853-2801,1022,18,1.76%,329,1280980
2751,730400,Culinary Institute of America,1946 Campus Drive,Hyde Park,NY,12538-1499,138,21,15.22%,157,313779
2757,2506100,CUNY City University of New York - Central,535 East 80th Street,New York,NY,10021-0795,2242,268,11.95%,8484,15207868
2942,280800,Daemen College,4380 Main Street,Amherst,NY,14226-3592,168,30,17.86%,364,501567
2772,271300,Dominican College of Blauvelt,470 Western Highway,Orangeburg,NY,10962-1210,62,27,43.55%,58,98177
2773,266700,Dowling College,Idle Hour Boulevard,Oakdale,NY,11769-1999,155,29,18.71%,383,683281
2779,286400,Dutchess Community College,53 Pendell Road,Poughkeepsie,NY,12601-1595,49,16,32.65%,68,96304
2780,271200,D'Youville College,320 Porter Avenue,Buffalo,NY,14201-1084,206,20,9.71%,228,336370
2788,271800,Elmira College,One Park Place,Elmira,NY,14901-2099,76,7,9.21%,180,420605
2793,286600,Fashion Institute of Technology,7th Avenue at 27th Street,New York,NY,10001-5992,141,15,10.64%,168,402242
2797,272200,Fordham University,441 East Fordham Road,Bronx,NY,10458-5157,221,39,17.65%,667,1444525
7587,2540800,Globe Institute of Technology,500 Seventh Avenue,New York,NY,10018-4503,0,0,0%,12,16348
2806,272800,Hamilton College,198 College Hill Road,Clinton,NY,13323-1218,51,1,1.96%,31,145127
2809,272900,Hartwick College,One Hartwick Drive,Oneonta,NY,13820-4020,128,19,14.84%,166,558670
2812,478800,Herkimer County Community College - SUNY Office of Community Colleges,100 Reservoir Road,Herkimer,NY,13350-1598,0,0,0%,101,87695
2813,273500,Hilbert College,5200 South Park Avenue,Hamburg,NY,14075-1597,36,4,11.11%,42,44144
2814,273100,Hobart and William Smith Colleges,337 Pulteney Street,Geneva,NY,14456-3397,59,4,6.78%,41,228209
2815,273200,Hofstra University,101 Hofstra University,Hempstead,NY,11549-1010,331,28,8.46%,653,1344437
2817,273400,Houghton College,1 Willard Avenue,Houghton,NY,14744-0128,112,12,10.71%,168,294477
2821,273700,Iona College,715 North Avenue,New Rochelle,NY,10801-1890,107,19,17.76%,340,623545
2822,737500,Island Drafting & Technical Institute,128 Broadway,Amityville,NY,11701-2704,36,3,8.33%,28,42823
2823,273900,Ithaca College,953 Danby Road,Ithaca,NY,14850-7000,594,34,5.72%,206,376547
2828,274200,Juilliard School (The),60 Lincoln Center Plaza,New York,NY,10023-6588,87,12,13.79%,31,143405
2832,274400,Keuka College,141 Central Avenue,Keuka Park,NY,14478-0000,69,9,13.04%,209,350097
2839,274800,Le Moyne College,1419 Salt Springs Road,Syracuse,NY,13214-1399,165,14,8.48%,172,312709
2836,746600,LIM College,12 East 53rd Street,New York,NY,10022-5268,0,0,0%,4,28411
2843,275100,Long Island University,University Center-C.W. Post Campus,Brookville,NY,11548-1326,726,53,7.30%,715,1408253
2845,275800,Manhattan College,Manhattan College Parkway,Riverdale,NY,10471-4098,123,13,10.57%,113,271997
2847,275900,Manhattan School of Music,120 Claremont Avenue,New York,NY,10027-4689,84,22,26.19%,165,300329
2849,276000,Manhattanville College,2900 Purchase Street,Purchase,NY,10577-2132,202,33,16.34%,253,321525
2851,276300,Maria College,700 New Scotland Avenue,Albany,NY,12208-1798,66,14,21.21%,50,117088
2854,276500,Marist College,3399 North Road,Poughkeepsie,NY,12601-1387,256,11,4.30%,248,675427
2856,276900,Marymount Manhattan College,221 East 71st Street,New York,NY,10021-4597,0,0,0%,162,122158
2859,277200,Mercy College,555 Broadway,Dobbs Ferry,NY,10522-1189,0,0,0%,48,167075
2861,726400,Mesivta Torah Vodaath Rabbinical Seminary,425 East 9th Street,Brooklyn,NY,11218-5209,14,0,0%,0,0
2862,397400,Mesivtha Tifereth Jerusalem of America,145 East Broadway,New York,NY,10002-6382,0,0,0%,6,20802
2870,287100,Mohawk Valley Community College - SUNY Office of Community Colleges,1101 Sherman Drive,Utica,NY,13501-5394,182,25,13.74%,220,335220
